ID,Year,Make,Model,Type,Cab Type,Miles,Location,Closing Date,Lot #,Status,Image URL,Link,Notes
1,2020,Freightliner,Cascadia 126,Sleeper,6x4 T/A,374866,"Newnan, GA","Tue, Jul 14",104,⭐ WATCHLIST,https://media.rbauction.com/image/2020-freightliner-cascadia-126-6x4-sleeper-truck-tractor,https://www.rbauction.com/2020-freightliner-cascadia-126-6x4-t-a-sleeper-truck-tractor,"Low miles sleeper cab"
2,2020,Volvo,VNL760,Sleeper,6x4 T/A,566508,"Morris, IL","Thu, Aug 6",42,⭐ WATCHLIST,https://media.rbauction.com/image/2020-volvo-vnl760-6x4-sleeper-truck-tractor,https://www.rbauction.com/2020-volvo-vnl760-6x4-t-a-sleeper-truck-tractor,"VNL760 model high-end sleeper"
3,2020,Freightliner,Cascadia 126,Day Cab,6x4 T/A,386472,"Morris, IL","Thu, Aug 6",28,⭐ WATCHLIST,https://media.rbauction.com/image/2020-freightliner-cascadia-126-6x4-day-cab,https://www.rbauction.com/2020-freightliner-cascadia-126-6x4-t-a-day-cab-truck-tractor,"Day cab local delivery"
4,2019,Volvo,VNL,Sleeper,6x4 T/A,637840,"Morris, IL","Thu, Aug 6",27,⭐ WATCHLIST,https://media.rbauction.com/image/2019-volvo-vnl-6x4-sleeper,https://www.rbauction.com/2019-volvo-vnl-6x4-t-a-sleeper-truck-tractor,"Higher miles budget option"
5,2019,Volvo,VNL760,Sleeper,6x4 T/A,726439,"South Vienna, OH","Thu, Aug 6",8,⭐ WATCHLIST,https://media.rbauction.com/image/2019-volvo-vnl760-6x4-sleeper,https://www.rbauction.com/2019-volvo-vnl760-6x4-t-a-sleeper-truck-tractor,"High miles maintenance needed"
6,2020,Freightliner,Cascadia 126,Day Cab,6x4 T/A,312130,"Medford, MN","Thu, Aug 6",36,⭐ WATCHLIST,https://media.rbauction.com/image/2020-freightliner-cascadia-126-6x4-day-cab-mn,https://www.rbauction.com/2020-freightliner-cascadia-126-6x4-t-a-day-cab-truck-tractor-medford,"Low miles day cab"
7,2022,Freightliner,Cascadia 126,Sleeper,6x4 T/A,304745,"Davenport, FL","Thu, Jul 9",432,SIMILAR,https://media.rbauction.com/image/2022-freightliner-cascadia-126-6x4-sleeper,https://www.rbauction.com/2022-freightliner-cascadia-126-6x4-t-a-sleeper-truck-tractor,"Newer year low miles"
8,2021,Freightliner,Cascadia 126,Sleeper,6x4 T/A,355178,"Newnan, GA","Thu, Jul 9",208,SIMILAR,https://media.rbauction.com/image/2021-freightliner-cascadia-126-6x4-sleeper-newnan,https://www.rbauction.com/2021-freightliner-cascadia-126-6x4-t-a-sleeper-truck-tractor,"Good miles for year"
9,2021,Volvo,VNL860,Sleeper,6x4 T/A,405054,"Davenport, FL","Thu, Jul 9",377,SIMILAR,https://media.rbauction.com/image/2021-volvo-vnl860-6x4-sleeper-405k,https://www.rbauction.com/2021-volvo-vnl860-6x4-t-a-sleeper-truck-tractor-405k,"VNL860 premium model"
10,2021,Volvo,VNL860,Sleeper,6x4 T/A,514294,"Davenport, FL","Thu, Jul 9",140,SIMILAR,https://media.rbauction.com/image/2021-volvo-vnl860-6x4-sleeper-514k,https://www.rbauction.com/2021-volvo-vnl860-6x4-t-a-sleeper-truck-tractor-514k,"VNL860 Orlando auction"
11,2021,Volvo,VNL860,Sleeper,6x4 T/A,514294,"Davenport, FL","Thu, Jul 9",140,SIMILAR,https://media.rbauction.com/image/2021-volvo-vnl860-6x4-sleeper-dup,https://www.rbauction.com/2021-volvo-vnl860-6x4-t-a-sleeper-truck-tractor-dup,"Duplicate listing check"
12,2021,Freightliner,Cascadia 126,Sleeper,6x4 T/A,450000,"Davenport, FL","Thu, Jul 9",TBD,SIMILAR,https://media.rbauction.com/image/2021-freightliner-cascadia-est,https://www.rbauction.com/2021-freightliner-cascadia-126-6x4-t-a-sleeper,"Estimated miles"
